id,source,team,category,updated_at,content
ticket_policy_6f45d1fe19d2da1f,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십플러스 9월 7일 월요일 오후 5시 (9/15 LG전) LG vs NC (9/15) 오픈: 9월 7일 월요일 오후 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_d745f96f8339d1ee,https://yagu.today/calendar/2026/9,삼성,ticket_policy,2026-09-05 03:01:02,[일반] 삼성 일반예매 9월 8일 화요일 오전 11시 (9/15) 롯데 vs 삼성 (9/15) 오픈: 9월 8일 화요일 오전 최대 6매 예매처: 티켓링크
ticket_policy_a223ff647c6c557f,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[일반] NC 일반예매 9월 8일 화요일 오전 11시 (9/15 LG전) LG vs NC (9/15) 오픈: 9월 8일 화요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_a223ff647c6c557f,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십 9월 8일 화요일 오전 11시 (9/15 LG전) LG vs NC (9/15) 오픈: 9월 8일 화요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_0cf79dda417ccd7c,https://yagu.today/calendar/2026/9,SSG,ticket_policy,2026-09-05 03:01:02,"[선예매] SSG 랜디 선예매 9월 8일 화요일 오전 11시 (9/15 KIA전) KIA vs SSG (9/15) 오픈: 9월 8일 화요일 오전 최대 6매 예매처: SSG 랜더스 앱 앱 전용 수수료 없음, 전용게이트 1시간 전 입장"
ticket_policy_0cf79dda417ccd7c,https://yagu.today/calendar/2026/9,SSG,ticket_policy,2026-09-05 03:01:02,"[선예매] SSG 베티 선예매 9월 8일 화요일 오전 11시 (9/15 KIA전) KIA vs SSG (9/15) 오픈: 9월 8일 화요일 오전 최대 6매 예매처: SSG 랜더스 앱 앱 전용 수수료 없음, 스타벅스 게이트 이용 가능"
ticket_policy_a4c9323b4a6cc513,https://yagu.today/calendar/2026/9,한화,ticket_policy,2026-09-05 03:01:02,[일반] 한화 일반예매 9월 8일 화요일 오전 11시 (9/15 KT전) KT vs 한화 (9/15) 오픈: 9월 8일 화요일 오전 최대 4매 예매처: 한화이글스 홈페이지 / 티켓링크 앱
ticket_policy_182c14e05122c9f4,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십플러스 9월 8일 화요일 오후 5시 (9/16 LG전) LG vs NC (9/16) 오픈: 9월 8일 화요일 오후 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_00ea11bb2595829b,https://yagu.today/calendar/2026/9,두산,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (베어스클럽) 9월 9일 수요일 오전 10시 (9/16 삼성전) 삼성 vs 두산 (9/16) 오픈: 9월 9일 수요일 오전 최대 2매 예매처: 구단 홈페이지 성인 대상, 구단 홈페이지만 가능"
ticket_policy_00ea11bb2595829b,https://yagu.today/calendar/2026/9,두산,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (두린이클럽) 9월 9일 수요일 오전 10시 (9/16 삼성전) 삼성 vs 두산 (9/16) 오픈: 9월 9일 수요일 오전 최대 4매 예매처: 구단 홈페이지 어린이 대상, 구단 홈페이지만 가능"
ticket_policy_a8d6567c2bd592ca,https://yagu.today/calendar/2026/9,KIA,ticket_policy,2026-09-05 03:01:02,[선예매] KIA 시즌권 선예매 9월 9일 수요일 오전 10시 (9/17 키움전) 키움 vs KIA (9/17) 오픈: 9월 9일 수요일 오전 최대 2매 예매처: 타이거즈앱 앱 전용 등급별 조건 오피셜 미확정 (2026 시즌 공지 대기)
ticket_policy_39a303001469abfe,https://yagu.today/calendar/2026/9,KIA,ticket_policy,2026-09-05 03:01:02,[선예매] KIA 얼리 멤버십 9월 9일 수요일 오전 10시 30분 (9/17 키움전) 키움 vs KIA (9/17) 오픈: 9월 9일 수요일 오전 30분 최대 2매 예매처: 타이거즈앱 앱 전용 일반석 한정
ticket_policy_50d582e6b56fe4a4,https://yagu.today/calendar/2026/9,SSG,ticket_policy,2026-09-05 03:01:02,"[선예매] SSG 푸리 선예매 9월 9일 수요일 오전 11시 (9/15 KIA전) KIA vs SSG (9/15) 오픈: 9월 9일 수요일 오전 최대 6매 예매처: SSG 랜더스 앱 앱 전용 수수료 없음, 스타벅스 게이트 이용 가능"
ticket_policy_a7b3b5eda8fe05b9,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[일반] NC 일반예매 9월 9일 수요일 오전 11시 (9/16 LG전) LG vs NC (9/16) 오픈: 9월 9일 수요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_a7b3b5eda8fe05b9,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십 9월 9일 수요일 오전 11시 (9/16 LG전) LG vs NC (9/16) 오픈: 9월 9일 수요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_94430a66d89617fa,https://yagu.today/calendar/2026/9,두산,ticket_policy,2026-09-05 03:01:02,[일반] 두산 일반예매 9월 9일 수요일 오전 11시 (9/16 삼성전) 삼성 vs 두산 (9/16) 오픈: 9월 9일 수요일 오전 예매처: 놀티켓 / 구단 홈페이지
ticket_policy_2d460a11a7a471b3,https://yagu.today/calendar/2026/9,한화,ticket_policy,2026-09-05 03:01:02,[일반] 한화 일반예매 9월 9일 수요일 오전 11시 (9/16 KT전) KT vs 한화 (9/16) 오픈: 9월 9일 수요일 오전 최대 4매 예매처: 한화이글스 홈페이지 / 티켓링크 앱
ticket_policy_61b68698958d4fb9,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십플러스 9월 9일 수요일 오후 5시 (9/17 SSG전) SSG vs NC (9/17) 오픈: 9월 9일 수요일 오후 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_1719db3056a57eb5,https://yagu.today/calendar/2026/9,SSG,ticket_policy,2026-09-05 03:01:02,[일반] SSG 일반예매 (프렌즈) 9월 10일 목요일 오전 11시 (9/15 KIA전) KIA vs SSG (9/15) 오픈: 9월 10일 목요일 오전 최대 6매 예매처: 쓱닷컴 앱/웹 스타벅스 게이트 이용 가능
ticket_policy_43d15768a75a2fdd,https://yagu.today/calendar/2026/9,KIA,ticket_policy,2026-09-05 03:01:02,"[일반] KIA 일반예매 9월 10일 목요일 오전 11시 (9/17 키움전) 키움 vs KIA (9/17) 오픈: 9월 10일 목요일 오전 최대 8매 예매처: 티켓링크 / 타이거즈앱 앱/티켓링크앱=특별석 포함, PC 티켓링크=일반석만"
ticket_policy_399a93e1cbc0d056,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[일반] NC 일반예매 9월 10일 목요일 오전 11시 (9/17 SSG전) SSG vs NC (9/17) 오픈: 9월 10일 목요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_399a93e1cbc0d056,https://yagu.today/calendar/2026/9,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십 9월 10일 목요일 오전 11시 (9/17 SSG전) SSG vs NC (9/17) 오픈: 9월 10일 목요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱
ticket_policy_f163669fc13042f9,https://yagu.today/calendar/2026/9,LG,ticket_policy,2026-09-05 03:01:02,[선예매] LG 선선예매 (장기회원) 9월 10일 목요일 오후 2시 (9/19 한화전) 한화 vs LG (9/19) 오픈: 9월 10일 목요일 오후 최대 4매 예매처: 구단 홈페이지 1루 오렌지 불가
ticket_policy_982fa8ae47468fbc,https://yagu.today/calendar/2026/9,두산,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (베어스클럽) 9월 11일 금요일 오전 10시 (9/18 키움전) 키움 vs 두산 (9/18) 오픈: 9월 11일 금요일 오전 최대 2매 예매처: 구단 홈페이지 성인 대상, 구단 홈페이지만 가능"
ticket_policy_982fa8ae47468fbc,https://yagu.today/calendar/2026/9,두산,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (두린이클럽) 9월 11일 금요일 오전 10시 (9/18 키움전) 키움 vs 두산 (9/18) 오픈: 9월 11일 금요일 오전 최대 4매 예매처: 구단 홈페이지 어린이 대상, 구단 홈페이지만 가능"
