id,raw_id,source,team,team_code,category,updated_at,content,status,evidence_type,parse_status,policy_type,policy_name,policy_subtype,open_date,open_ampm,open_time,game_date_mmdd,opponent_name_raw,away_team_name_raw,home_team_name_raw,away_team_code,home_team_code,max_tickets,booking_channel_and_condition
ticket_policy_d726347b78de6ead,ticket_policy_5da73259cb572cda,https://yagu.today/calendar/2026/9,KT,KT,ticket_policy,2026-09-05 03:01:02,[일반] KT 일반예매 9월 6일 일요일 오후 4시 (9/13 롯데전) 롯데 vs KT (9/13) 오픈: 9월 6일 일요일 오후 예매처: 티켓링크 / WIZ APP,CONFIRMED,THIRD_PARTY_API,OK,일반,KT 일반예매,,9월 6일 일요일,오후,4시,9/13,롯데,롯데,KT,LOTTE,KT,,티켓링크 / WIZ APP
ticket_policy_130c7a4b33ad32f2,ticket_policy_53ce9cd4bd4bd5fc,https://yagu.today/calendar/2026/9,삼성,SAMSUNG,ticket_policy,2026-09-05 03:01:02,"[선예매] 삼성 선예매 (블루 멤버십) 9월 7일 월요일 오전 11시 (9/15) 롯데 vs 삼성 (9/15) 오픈: 9월 7일 월요일 오전 최대 4매 예매처: 구단 홈페이지 (블루 멤버십) 블루 멤버십 전용 (구단 홈페이지). 골드: 전좌석(특화좌석 제외, 3루내야석 보장) / 실버: SKY중앙, 블루존, 상하단 지정석, 외야지정석 (블루존 70%)",CONFIRMED,THIRD_PARTY_API,OK,선예매,삼성 선예매,블루 멤버십,9월 7일 월요일,오전,11시,9/15,,롯데,삼성,LOTTE,SAMSUNG,4,"구단 홈페이지 (블루 멤버십) 블루 멤버십 전용 (구단 홈페이지). 골드: 전좌석(특화좌석 제외, 3루내야석 보장) / 실버: SKY중앙, 블루존, 상하단 지정석, 외야지정석 (블루존 70%)"
ticket_policy_cc9541821a033c19,ticket_policy_6f45d1fe19d2da1f,https://yagu.today/calendar/2026/9,NC,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십플러스 9월 7일 월요일 오후 5시 (9/15 LG전) LG vs NC (9/15) 오픈: 9월 7일 월요일 오후 최대 4매 예매처: 구단 홈페이지 / 앱,CONFIRMED,THIRD_PARTY_API,OK,선예매,NC 민트멤버십플러스,,9월 7일 월요일,오후,5시,9/15,LG,LG,NC,LG,NC,4,구단 홈페이지 / 앱
ticket_policy_8a051f08ace9a3cf,ticket_policy_d745f96f8339d1ee,https://yagu.today/calendar/2026/9,삼성,SAMSUNG,ticket_policy,2026-09-05 03:01:02,[일반] 삼성 일반예매 9월 8일 화요일 오전 11시 (9/15) 롯데 vs 삼성 (9/15) 오픈: 9월 8일 화요일 오전 최대 6매 예매처: 티켓링크,CONFIRMED,THIRD_PARTY_API,OK,일반,삼성 일반예매,,9월 8일 화요일,오전,11시,9/15,,롯데,삼성,LOTTE,SAMSUNG,6,티켓링크
ticket_policy_87d73394d0bbf0ce,ticket_policy_a223ff647c6c557f,https://yagu.today/calendar/2026/9,NC,NC,ticket_policy,2026-09-05 03:01:02,[일반] NC 일반예매 9월 8일 화요일 오전 11시 (9/15 LG전) LG vs NC (9/15) 오픈: 9월 8일 화요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱,CONFIRMED,THIRD_PARTY_API,OK,일반,NC 일반예매,,9월 8일 화요일,오전,11시,9/15,LG,LG,NC,LG,NC,4,구단 홈페이지 / 앱
ticket_policy_1bbd7c0ac5af901a,ticket_policy_a223ff647c6c557f,https://yagu.today/calendar/2026/9,NC,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십 9월 8일 화요일 오전 11시 (9/15 LG전) LG vs NC (9/15) 오픈: 9월 8일 화요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱,CONFIRMED,THIRD_PARTY_API,OK,선예매,NC 민트멤버십,,9월 8일 화요일,오전,11시,9/15,LG,LG,NC,LG,NC,4,구단 홈페이지 / 앱
ticket_policy_7df05b28a2235e9a,ticket_policy_0cf79dda417ccd7c,https://yagu.today/calendar/2026/9,SSG,SSG,ticket_policy,2026-09-05 03:01:02,"[선예매] SSG 랜디 선예매 9월 8일 화요일 오전 11시 (9/15 KIA전) KIA vs SSG (9/15) 오픈: 9월 8일 화요일 오전 최대 6매 예매처: SSG 랜더스 앱 앱 전용 수수료 없음, 전용게이트 1시간 전 입장",CONFIRMED,THIRD_PARTY_API,OK,선예매,SSG 랜디 선예매,,9월 8일 화요일,오전,11시,9/15,KIA,KIA,SSG,KIA,SSG,6,"SSG 랜더스 앱 앱 전용 수수료 없음, 전용게이트 1시간 전 입장"
ticket_policy_a5905a7100a6d384,ticket_policy_0cf79dda417ccd7c,https://yagu.today/calendar/2026/9,SSG,SSG,ticket_policy,2026-09-05 03:01:02,"[선예매] SSG 베티 선예매 9월 8일 화요일 오전 11시 (9/15 KIA전) KIA vs SSG (9/15) 오픈: 9월 8일 화요일 오전 최대 6매 예매처: SSG 랜더스 앱 앱 전용 수수료 없음, 스타벅스 게이트 이용 가능",CONFIRMED,THIRD_PARTY_API,OK,선예매,SSG 베티 선예매,,9월 8일 화요일,오전,11시,9/15,KIA,KIA,SSG,KIA,SSG,6,"SSG 랜더스 앱 앱 전용 수수료 없음, 스타벅스 게이트 이용 가능"
ticket_policy_a8e70d4ec04bed90,ticket_policy_a4c9323b4a6cc513,https://yagu.today/calendar/2026/9,한화,HANWHA,ticket_policy,2026-09-05 03:01:02,[일반] 한화 일반예매 9월 8일 화요일 오전 11시 (9/15 KT전) KT vs 한화 (9/15) 오픈: 9월 8일 화요일 오전 최대 4매 예매처: 한화이글스 홈페이지 / 티켓링크 앱,CONFIRMED,THIRD_PARTY_API,OK,일반,한화 일반예매,,9월 8일 화요일,오전,11시,9/15,KT,KT,한화,KT,HANWHA,4,한화이글스 홈페이지 / 티켓링크 앱
ticket_policy_b6c22f952384a435,ticket_policy_182c14e05122c9f4,https://yagu.today/calendar/2026/9,NC,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십플러스 9월 8일 화요일 오후 5시 (9/16 LG전) LG vs NC (9/16) 오픈: 9월 8일 화요일 오후 최대 4매 예매처: 구단 홈페이지 / 앱,CONFIRMED,THIRD_PARTY_API,OK,선예매,NC 민트멤버십플러스,,9월 8일 화요일,오후,5시,9/16,LG,LG,NC,LG,NC,4,구단 홈페이지 / 앱
ticket_policy_458a7c48a5dd57dd,ticket_policy_00ea11bb2595829b,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (베어스클럽) 9월 9일 수요일 오전 10시 (9/16 삼성전) 삼성 vs 두산 (9/16) 오픈: 9월 9일 수요일 오전 최대 2매 예매처: 구단 홈페이지 성인 대상, 구단 홈페이지만 가능",CONFIRMED,THIRD_PARTY_API,OK,선예매,두산 선예매,베어스클럽,9월 9일 수요일,오전,10시,9/16,삼성,삼성,두산,SAMSUNG,DOOSAN,2,"구단 홈페이지 성인 대상, 구단 홈페이지만 가능"
ticket_policy_05a62e94604958b5,ticket_policy_00ea11bb2595829b,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,"[선예매] 두산 선예매 (두린이클럽) 9월 9일 수요일 오전 10시 (9/16 삼성전) 삼성 vs 두산 (9/16) 오픈: 9월 9일 수요일 오전 최대 4매 예매처: 구단 홈페이지 어린이 대상, 구단 홈페이지만 가능",CONFIRMED,THIRD_PARTY_API,OK,선예매,두산 선예매,두린이클럽,9월 9일 수요일,오전,10시,9/16,삼성,삼성,두산,SAMSUNG,DOOSAN,4,"구단 홈페이지 어린이 대상, 구단 홈페이지만 가능"
ticket_policy_2c677c68e494c689,ticket_policy_a8d6567c2bd592ca,https://yagu.today/calendar/2026/9,KIA,KIA,ticket_policy,2026-09-05 03:01:02,[선예매] KIA 시즌권 선예매 9월 9일 수요일 오전 10시 (9/17 키움전) 키움 vs KIA (9/17) 오픈: 9월 9일 수요일 오전 최대 2매 예매처: 타이거즈앱 앱 전용 등급별 조건 오피셜 미확정 (2026 시즌 공지 대기),CONFIRMED,THIRD_PARTY_API,OK,선예매,KIA 시즌권 선예매,,9월 9일 수요일,오전,10시,9/17,키움,키움,KIA,KIWOOM,KIA,2,타이거즈앱 앱 전용 등급별 조건 오피셜 미확정 (2026 시즌 공지 대기)
ticket_policy_7328a9b46b18057a,ticket_policy_39a303001469abfe,https://yagu.today/calendar/2026/9,KIA,KIA,ticket_policy,2026-09-05 03:01:02,[선예매] KIA 얼리 멤버십 9월 9일 수요일 오전 10시 30분 (9/17 키움전) 키움 vs KIA (9/17) 오픈: 9월 9일 수요일 오전 30분 최대 2매 예매처: 타이거즈앱 앱 전용 일반석 한정,CONFIRMED,THIRD_PARTY_API,OK,선예매,KIA 얼리 멤버십,,9월 9일 수요일,오전,10시 30분,9/17,키움,키움,KIA,KIWOOM,KIA,2,타이거즈앱 앱 전용 일반석 한정
ticket_policy_bd2bb2846058772c,ticket_policy_50d582e6b56fe4a4,https://yagu.today/calendar/2026/9,SSG,SSG,ticket_policy,2026-09-05 03:01:02,"[선예매] SSG 푸리 선예매 9월 9일 수요일 오전 11시 (9/15 KIA전) KIA vs SSG (9/15) 오픈: 9월 9일 수요일 오전 최대 6매 예매처: SSG 랜더스 앱 앱 전용 수수료 없음, 스타벅스 게이트 이용 가능",CONFIRMED,THIRD_PARTY_API,OK,선예매,SSG 푸리 선예매,,9월 9일 수요일,오전,11시,9/15,KIA,KIA,SSG,KIA,SSG,6,"SSG 랜더스 앱 앱 전용 수수료 없음, 스타벅스 게이트 이용 가능"
ticket_policy_32ecf9ede1e9d641,ticket_policy_a7b3b5eda8fe05b9,https://yagu.today/calendar/2026/9,NC,NC,ticket_policy,2026-09-05 03:01:02,[일반] NC 일반예매 9월 9일 수요일 오전 11시 (9/16 LG전) LG vs NC (9/16) 오픈: 9월 9일 수요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱,CONFIRMED,THIRD_PARTY_API,OK,일반,NC 일반예매,,9월 9일 수요일,오전,11시,9/16,LG,LG,NC,LG,NC,4,구단 홈페이지 / 앱
ticket_policy_45c1feb001e51742,ticket_policy_a7b3b5eda8fe05b9,https://yagu.today/calendar/2026/9,NC,NC,ticket_policy,2026-09-05 03:01:02,[선예매] NC 민트멤버십 9월 9일 수요일 오전 11시 (9/16 LG전) LG vs NC (9/16) 오픈: 9월 9일 수요일 오전 최대 4매 예매처: 구단 홈페이지 / 앱,CONFIRMED,THIRD_PARTY_API,OK,선예매,NC 민트멤버십,,9월 9일 수요일,오전,11시,9/16,LG,LG,NC,LG,NC,4,구단 홈페이지 / 앱
ticket_policy_4d9a5e73cdd2a4f4,ticket_policy_94430a66d89617fa,https://yagu.today/calendar/2026/9,두산,DOOSAN,ticket_policy,2026-09-05 03:01:02,[일반] 두산 일반예매 9월 9일 수요일 오전 11시 (9/16 삼성전) 삼성 vs 두산 (9/16) 오픈: 9월 9일 수요일 오전 예매처: 놀티켓 / 구단 홈페이지,CONFIRMED,THIRD_PARTY_API,OK,일반,두산 일반예매,,9월 9일 수요일,오전,11시,9/16,삼성,삼성,두산,SAMSUNG,DOOSAN,,놀티켓 / 구단 홈페이지
ticket_policy_6014674757e89e37,ticket_policy_2d460a11a7a471b3,https://yagu.today/calendar/2026/9,한화,HANWHA,ticket_policy,2026-09-05 03:01:02,[일반] 한화 일반예매 9월 9일 수요일 오전 11시 (9/16 KT전) KT vs 한화 (9/16) 오픈: 9월 9일 수요일 오전 최대 4매 예매처: 한화이글스 홈페이지 / 티켓링크 앱,CONFIRMED,THIRD_PARTY_API,OK,일반,한화 일반예매,,9월 9일 수요일,오전,11시,9/16,KT,KT,한화,KT,HANWHA,4,한화이글스 홈페이지 / 티켓링크 앱
